project_id,contract_date,completion_date,year,town,county,distance_from_home_base_miles,business_type,roof_type,project_type,roof_size_sqft,stories,roof_access_complexity,occupied_building_flag,tear_off_required_flag,insulation_replacement_flag,number_of_roof_penetrations,hurricane_related_flag,emergency_job_flag,permit_complexity_score,estimated_duration_days,actual_duration_days,delay_days,weather_delay_days,change_order_amount,contract_value,revenue_per_sqft,material_cost,labor_cost,subcontractor_cost,equipment_cost,permit_cost,disposal_cost,travel_cost,overrun_cost,total_cost,gross_profit,profit_margin_pct,lead_source,customer_type,competitive_bid_flag,number_of_competitors_estimated,salesperson,sales_cycle_days,won_with_discount_flag,discount_pct,month,quarter,busy_season_flag,post_hurricane_demand_flag,material_price_index,labor_tightness_index
SWFL-2024-0001,2024-06-19,2024-06-27,2024,Punta Gorda,Charlotte,37.1,Retail,TPO,Coating / Restoration,8785,1,Low,True,False,False,6,False,False,4,4,4,0,0,2469.62,102541.85,11.67,33028.38,31161.83,7003.54,2706.66,2504.82,360.14,3960.3,0.0,80725.67,24285.8,0.2313,Google Search,Existing,False,0,Drew,23,False,0.0,6,Q2,False,False,111.5,106.2
SWFL-2024-0002,2024-02-28,2024-03-09,2024,Fort Myers,Lee,6.5,Restaurant,EPDM,Coating / Restoration,9883,1,Low,True,False,False,17,False,False,4,6,9,3,0,5136.85,118665.56,12.01,39145.33,40163.13,4341.95,2531.35,1903.72,409.06,909.05,2590.79,91994.38,31808.03,0.2569,Google Search,Existing,True,3,Drew,36,True,0.0586,2,Q1,False,True,122.0,120.2
SWFL-2021-0003,2021-08-18,2021-09-12,2021,Fort Myers,Lee,15.3,Retail,Modified Bitumen,Coating / Restoration,28697,3,Medium,True,False,True,16,False,False,3,6,19,13,2,18527.86,398411.46,13.88,119815.85,124128.16,39744.89,21244.89,2263.71,1247.02,3058.21,19110.29,330613.02,86326.3,0.207,Insurance / Storm,New,True,5,Avery,58,False,0.0,8,Q3,False,False,107.7,104.8
SWFL-2022-0004,2022-04-21,2022-05-13,2022,Naples,Collier,38.9,Hotel / Hospitality,TPO,Storm Damage Replacement,18208,2,Medium,False,True,True,19,True,False,3,11,19,8,0,19483.43,351602.57,19.31,116634.22,124506.27,40469.0,13078.83,3071.59,5485.88,6312.14,10263.08,319821.01,51264.99,0.1381,Insurance / Storm,New,True,3,Avery,36,False,0.0,4,Q2,True,True,112.6,109.9
SWFL-2021-0005,2021-02-10,2021-03-05,2021,Fort Myers,Lee,14.7,Office,TPO,Full Replacement,36454,5,Medium,True,True,True,8,False,False,4,13,16,3,1,-654.53,536294.91,14.71,158477.19,153037.73,19703.56,27904.57,3553.43,8457.81,3685.9,5625.03,380445.22,155195.16,0.2897,Repeat Customer,Existing,False,2,Blake,24,True,0.0672,2,Q1,False,False,108.2,105.5
SWFL-2019-0006,2019-02-22,2019-03-04,2019,Port Charlotte,Charlotte,43.8,Warehouse,Coating / Restoration,Coating / Restoration,14034,1,Low,False,False,False,6,False,False,5,6,2,-4,0,4389.4,81754.49,5.83,18998.96,22944.01,7732.28,1603.09,2544.86,533.15,5713.84,0.0,60070.19,26073.7,0.3027,Referral,Existing,True,1,Avery,47,True,0.0608,2,Q1,False,False,103.0,100.5
SWFL-2025-0007,2025-03-01,2025-03-14,2025,Lehigh Acres,Lee,24.9,HOA / Clubhouse,Built-Up Roofing,Repair,4642,2,Low,False,False,False,5,False,False,2,1,4,3,1,-1309.75,103451.21,22.29,38306.67,38289.0,4309.44,4639.94,1815.43,227.34,1714.07,2941.4,92243.29,9898.17,0.0969,General Contractor,New,True,5,Cameron,42,False,0.0,2,Q1,False,False,118.6,106.7
SWFL-2019-0008,2019-08-21,2019-09-14,2019,Bonita Springs,Lee,32.4,Hotel / Hospitality,Coating / Restoration,Coating / Restoration,34163,2,Low,True,True,False,15,False,False,5,14,23,9,0,8392.12,272300.54,7.97,57337.0,78527.07,24403.88,9731.12,3116.44,11055.48,8832.13,10261.27,203264.39,77428.27,0.2758,Repeat Customer,Existing,False,0,Avery,39,False,0.0,8,Q3,False,False,96.8,99.6
SWFL-2023-0009,2023-09-14,2023-09-22,2023,Naples,Collier,34.6,School / Institutional,Modified Bitumen,Coating / Restoration,28867,1,Medium,False,False,False,12,True,False,4,11,8,-3,2,2760.54,426705.97,14.78,148930.77,135226.52,44836.62,18702.72,3649.47,1000.02,6913.06,1382.73,360641.91,68824.6,0.1603,Referral,Existing,False,2,Cameron,21,True,0.0757,9,Q3,False,True,114.5,108.0
SWFL-2025-0010,2025-08-10,2025-08-30,2025,Estero,Lee,25.5,Retail,TPO,Full Replacement,19079,5,Medium,False,True,False,10,False,False,8,11,20,9,1,11830.78,312919.22,16.4,94446.12,104980.64,26329.07,17731.58,4371.04,4843.9,4584.16,11519.63,268806.14,55943.86,0.1723,Google Search,New,True,3,Blake,36,False,0.0,8,Q3,False,False,114.7,117.6
